variable,dummyVariable,toType,databaseStart,variableStart,fromType,recTo,numValidCat,catLabel,catLabelLong,units,recFrom,catStartLabel,variableStartShortLabel,variableStartLabel,notes
DHHGAGE_A,DHHGAGE_A_cat15_1,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,1,15,age (12 to 14),age (12 to 14),years,1,12 to 14 years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_2,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,2,15,age (15 to 19),age (15 to 19),years,2,15 to 19 years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_3,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,3,15,age (20 to 24),age (20 to 24),years,3,20 To 24 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_4,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,4,15,age (25 to 29),age (25 to 29),years,4,25 To 29 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_5,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,5,15,age (30 to 34),age (30 to 34),years,5,30 To 34 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_6,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,6,15,age (35 to 39),age (35 to 39),years,6,35 To 39 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_7,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,7,15,age (40 to 44),age (40 to 44),years,7,40 To 44 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_8,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,8,15,age (45 to 49),age (45 to 49),years,8,45 To 49 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_9,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,9,15,age (50 to 54),age (50 to 54),years,9,50 To 54 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_10,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,10,15,age (55 to 59),age (55 to 59),years,10,55 To 59 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_11,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,11,15,age (60 to 64),age (60 to 64),years,11,60 To 64 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_12,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,12,15,age (65 to 69),age (65 to 69),years,12,65 To 69 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_13,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,13,15,age (70 to 74),age (70 to 74),years,13,70 To 74 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_14,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,14,15,age (75 to 79),age (75 to 79),years,14,75 To 79 Years,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_15,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,15,15,age (80 plus),age (80 plus),years,15,80 Years or more,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_NA::a,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,NA::a,15,not applicable,not applicable,years,96,not applicable,Age,Age - (G),
DHHGAGE_A,DHHGAGE_A_cat15_NA::b,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,NA::b,15,missing,missing,years,97:99,don't know (97); refusal (98); not stated (99),Age,Age - (G),"Not applicable, don't know, refusal, not stated (96-99) were options only in CCHS 2003, but had zero responses"
DHHGAGE_A,DHHGAGE_A_cat15_NA::b,cat,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,NA::b,15,else,else,years,else,else,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_1,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,1,16,age (12 to 14),age (12 to 14),years,1,12 To 14 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_2,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,2,16,age (15 to 17),age (15 to 17),years,2,15 To 17 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_3,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,3,16,age (18 to 19),age (18 to 19),years,3,18 To 19 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_4,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,4,16,age (20 to 24),age (20 to 24),years,4,20 To 24 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_5,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,5,16,age (25 to 29),age (25 to 29),years,5,25 To 29 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_6,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,6,16,age (30 to 34),age (30 to 34),years,6,30 To 34 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_7,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,7,16,age (35 to 39),age (35 to 39),years,7,35 To 39 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_8,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,8,16,age (40 to 44),age (40 to 44),years,8,40 To 44 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_9,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,9,16,age (45 to 49),age (45 to 49),years,9,45 To 49 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_10,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,10,16,age (50 to 54),age (50 to 54),years,10,50 To 54 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_11,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,11,16,age (55 to 59),age (55 to 59),years,11,55 To 59 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_12,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,12,16,age (60 to 64),age (60 to 64),years,12,60 To 64 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_13,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,13,16,age (65 to 69),age (65 to 69),years,13,65 To 69 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_14,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,14,16,age (70 to 74),age (70 to 74),years,14,70 To 74 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_15,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,15,16,age (75 to 79),age (75 to 79),years,15,75 To 79 Years,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_16,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,16,16,age (80 plus),age (80 plus),years,16,80 Years or more,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_NA::a,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,NA::a,16,not applicable,not applicable,years,96,not applicable,Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_NA::b,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,NA::b,16,missing,missing,years,97:99,don't know (97); refusal (98); not stated (99),Age,Age - (G),
DHHGAGE_B,DHHGAGE_B_cat16_NA::b,cat,"cchs-82M0013-E-2005-c3-1-main-file, cchs-E-2007-2008-AnnualComponent, CCHS-82M0013-E-2009-2010-Annualcomponent, CCHS-82M0013-E-2010-AnnualComponent, cchs-82M0013-E-2011-2012-Annual-component, cchs-82M0013-E-2012-Annual-component, cchs-82M0013-E-2013-2014-Annual-component, cchs-82M0013-E-2014-Annual-component","cchs-82M0013-E-2005-c3-1-main-file::DHHEGAGE, [DHHGAGE]",cat,NA::b,16,else,else,years,else,else,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,13,N/A,Age,converted categorical age (12 to 14),years,1,12 to 14 years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,17,N/A,Age,converted categorical age (15 to 19),years,2,15 to 19 years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,22,N/A,Age,converted categorical age (20 to 24),years,3,20 To 24 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,27,N/A,Age,converted categorical age (25 to 29),years,4,25 To 29 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,32,N/A,Age,converted categorical age (30 to 34),years,5,30 To 34 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,37,N/A,Age,converted categorical age (35 to 39),years,6,35 To 39 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,42,N/A,Age,converted categorical age (40 to 44),years,7,40 To 44 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,47,N/A,Age,converted categorical age (45 to 49),years,8,45 To 49 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,52,N/A,Age,converted categorical age (50 to 54),years,9,50 To 54 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,57,N/A,Age,converted categorical age (55 to 59),years,10,55 To 59 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,62,N/A,Age,converted categorical age (60 to 64),years,11,60 To 64 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,67,N/A,Age,converted categorical age (65 to 69),years,12,65 To 69 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,72,N/A,Age,converted categorical age (70 to 74),years,13,70 To 74 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,77,N/A,Age,converted categorical age (75 to 79),years,14,75 To 79 Years,Age,Age - (G),
DHHGAGE_cont,N/A,cont,"cchs-82M0013-E-2001-c1-1-general-file, cchs-82M0013-E-2003-c2-1-General File","cchs-82M0013-E-2001-c1-1-general-file::DHHAGAGE, cchs-82M0013-E-2003-c2-1-General File::DHHCGAGE",cat,85,N/A,Age,converted categorical age (80 plus),years,15,80 Years or more,Age,Age - (G),
