variable,label,labelLong,section,subject,variableType,units
ADL_01,Help preparing meals,Needs help - preparing meals,health behaviour,Assistance/Difficulty,Categorical,N/A
ADL_02,Help appointments/errands,Needs help - getting to appointments/errands,health behaviour,Assistance/Difficulty,Categorical,N/A
ADL_03,Help housework,Needs help - doing housework,Health behaviour,Assistance/Difficulty,Categorical,N/A
ADL_04,Help personal care,Needs help - personal care,Health behaviour,Assistance/Difficulty,Categorical,N/A
ADL_05,Help move inside house,Needs help - moving about inside house,Health behaviour,Assistance/Difficulty,Categorical,N/A
ADL_06,Help personal finances,Needs help - looking after finances,Health behaviour,Assistance/Difficulty,Categorical,N/A
ADLF6R,Help tasks,Needs help with at least one task - (F),Health behaviour,Assistance/Difficulty,Categorical,N/A
ALC_1,Alcohol past year,"Past year, have you drank alcohol",health behaviour,Alcohol,Categorical,N/A
ALCDTTM,Drinker type 12M,Type of drinker (12 months),health behaviour,Alcohol,Categorical,N/A
ALCDTYP,Drinker type,Type of drinker - (D),health behaviour,Alcohol,Categorical,N/A
ALW_1,Any alcohol past week,"Past week, had any alcohol",health behaviour,Alcohol,Categorical,N/A
ALW_5A1,DailyConsumptionSunday,Number of drinks on Sunday,health behaviour,Alcohol,Continuous,drinks
ALW_5A2,# of drinks - Monday,Number of drinks on Monday,health behaviour,Alcohol,Continuous,drinks
ALW_5A3,# of drinks - Sunday,Number of drinks on Tuesday,health behaviour,Alcohol,Continuous,drinks
ALW_5A4,# of drinks - Sunday,Number of drinks on Wednesday,health behaviour,Alcohol,Continuous,drinks
ALW_5A5,# of drinks - Sunday,Number of drinks on Thursday,health behaviour,Alcohol,Continuous,drinks
ALW_5A6,# of drinks - Sunday,Number of drinks on Friday,health behaviour,Alcohol,Continuous,drinks
ALW_5A7,# of drinks - Sunday,Number of drinks on Saturday,health behaviour,Alcohol,Continuous,drinks
ALWDDLY,Average daily consumption,Average daily alcohol consumption,health behaviour,Alcohol,Continuous,drinks/day
ALWDWKY,Drinks last week,Weekly consumption of alcohol,health behaviour,Alcohol,Continuous,drinks/week
CCC_031,Asthma,Do you have asthma?,chronic disease,Asthma,Categorical,N/A
CCC_051,Arthritis/Rheumatism,Do you have arthritis or rheumatism?,chronic disease,Arthritis/Rheumatism,Categorical,N/A
CCC_071,Hypertension,Do you have high blood pressure,chronic disease,Hypertension,Categorical,N/A
CCC_091,COPD/Emphysema,"Do you have COPD (eg bronchitis, emphysema)",chronic disease,COPD/emphysema,Categorical,N/A
CCC_101,Diabetes,Do you have diabetes,chronic disease,Diabetes,Categorical,N/A
CCC_111,Epilepsy,Do you have epilepsy?,chronic disease,Epilepsy,Categorical,N/A
CCC_121,Heart Disease,Do you have heart disease,chronic disease,Heart Disease,Categorical,N/A
CCC_131,Active Cancer,Do you have cancer,chronic disease,Cancer,Categorical,N/A
CCC_151,Stroke,Do you suffer from effects of stroke,chronic disease,Stroke,Categorical,N/A
CCC_171,Bowel disorder,Do you have a bowel disorder such as Crohn's disease or colitis?,chronic disease,Bowel disorder,Categorical,N/A
CCC_251,Chronic fatigue,Do you have chronic fatigue syndrome?,chronic disease,Chronic fatigue syndrome,Categorical,N/A
CCC_280,Mood disorder,Do you have a mood disorder,chronic disease,Mood disorder,Categorical,N/A
CCC_91E,Emphysema,Do you have emphysema?,chronic disease,Emphysema,Categorical,N/A
CCC_91F,COPD,Do you have COPD?,chronic disease,COPD,Categorical,N/A
DHH_OWN,Home ownership,Dwelling - owned by a member of hsld,Sociodemographic,Home ownership,Categorical,N/A
DHH_SEX,Sex,Sex,demographic,Sex,Categorical,N/A
DHHGAGE_A,Age,Age,demographic,Age,Categorical,Years
DHHGAGE_B,Age,Age,demographic,Age,Categorical,Years
DHHGAGE_cont,Age,Converted categorical age,demographic,Age,Continuous,Years
DHHGMS,Marital status,Marital status - (G),Sociodemographic,Marital Status,Categorical,N/A
EDUDR04,Highest education,Highest level/education,Sociodemographic,Education,Categorical,N/A
FINF1,Food insecurity 12M,Some food insecurity in past 12 months,Sociodemographic,Food security,Categorical,N/A
FSCDHFS,Food security,Household food security status - (D),Sociodemographic,Food security,Categorical,N/A
FSCDHFS2,HC food security,Household food security status - (HC),Sociodemographic,Food security,Categorical,N/A
FVCDCAR,Carrot consumption,Daily consumption - carrots (D),health behaviour,Fruits/vegetables,Continuous,N/A
FVCDFRU,Fruit consumption,Daily consumption - fruit - (D),health behaviour,Fruits/vegetables,Continuous,N/A
FVCDJUI,Juice consumption,Daily consumption - fruit juice (D),health behaviour,Fruits/vegetables,Continuous,N/A
FVCDPOT,Potato consumption,Daily consumption - potatoes (D),health behaviour,Fruits/vegetables,Continuous,N/A
