vars,Categories,GroupBy,GroupBy2,Label,n size,observed,predicted,prev_percent,type,SD,mean,median,Domain
agegrp14,20 to 24,age,Female,Age (years),5781,0.00173,0.00103,0.1991,categorical,,,,Demographic
agegrp14,25 to 29,age,Female,,6815,0.00225,0.00151,0.3097,categorical,,,,Demographic
agegrp14,30 to 34,age,Female,,7514,0.00328,0.00226,0.5087,categorical,,,,Demographic
agegrp14,35 to 39,age,Female,,8220,0.00441,0.00333,0.752,categorical,,,,Demographic
agegrp14,40 to 44,age,Female,,7761,0.00627,0.0058,1.0175,categorical,,,,Demographic
agegrp14,45 to 49,age,Female,,7080,0.01246,0.00975,1.8359,categorical,,,,Demographic
agegrp14,50 to 54,age,Female,,8063,0.01962,0.01455,3.2515,categorical,,,,Demographic
agegrp14,55 to 59,age,Female,,8636,0.02535,0.0225,4.4459,categorical,,,,Demographic
agegrp14,60 to 64,age,Female,,8253,0.04199,0.03683,6.9011,categorical,,,,Demographic
agegrp14,65 to 69,age,Female,,7293,0.06175,0.0598,9.0688,categorical,,,,Demographic
agegrp14,70 to 74,age,Female,,6568,0.09309,0.09582,12.453,categorical,,,,Demographic
agegrp14,75 to 79,age,Female,,5823,0.15252,0.15222,18.1376,categorical,,,,Demographic
agegrp14,80 to 84,age,Female,,4309,0.21022,0.23377,18.403,categorical,,,,Demographic
agegrp14,85+,age,Female,,2960,0.38507,0.39277,22.7162,categorical,,,,Demographic
,,,,,,,,,,,,,
smoking_cat4_,Current,smoking,Female,Smoking Status,20025,0.05095,0.04792,20.9467,categorical,,,,Health behaviour
smoking_cat4_,Former ≤5 y,smoking,Female,,9026,0.04279,0.03929,7.985,categorical,,,,Health behaviour
smoking_cat4_,Former >5 y,smoking,Female,,28410,0.05951,0.06116,34.5499,categorical,,,,Health behaviour
smoking_cat4_,Non,smoking,Female,,37615,0.04797,0.04945,36.5185,categorical,,,,Health behaviour
,,,,,,,,,,,,,
DrinksLastWeek_,0,Drinks per week,Female,Number Drinks/Week,54338,0.06695,0.06645,74.4083,categorical,,,,Health behaviour
DrinksLastWeek_,1,Drinks per week,Female,,9378,0.03506,0.03797,6.6799,categorical,,,,Health behaviour
DrinksLastWeek_,2,Drinks per week,Female,,6781,0.02672,0.02632,3.716,categorical,,,,Health behaviour
DrinksLastWeek_,3 to 6,Drinks per week,Female,,13032,0.02155,0.02141,5.7067,categorical,,,,Health behaviour
DrinksLastWeek_,7 to 24,Drinks per week,Female,,11547,0.04067,0.04223,9.4891,categorical,,,,Health behaviour
