variableName,dummy,labelLong,label,reference
BB6_cat5,BB6_cat5_0,Grade 11 or Lower,Grade 11 or Lower,Yes
BB6_cat5,BB6_cat5_1,High School,High School,No
BB6_cat5,BB6_cat5_2,Technical/Trade School,Technical/Trade School,No
BB6_cat5,BB6_cat5_3,Some College/University,Some College/University,No
BB6_cat5,BB6_cat5_4,Unknown,Unknown,No
IADL_cat7,IADL_cat7_0,No difficulty in any of the 3 IADLs ,No ADL difficulty,Yes
IADL_cat7,IADL_cat7_1,Some difficulty in one IADLs but no difficulty in the other two,One IADL - some difficulty,No
IADL_cat7,IADL_cat7_2,Some difficulty in two IADLs but no difficulty in the other one,Two IADLs - some difficulty,No
IADL_cat7,IADL_cat7_3,Some difficulty in all three IADLs,All three IADLs - some difficulty,No
IADL_cat7,IADL_cat7_4,Great difficulty in one IADL but less than great difficulty in the other two,One IADL - great difficuty,No
IADL_cat7,IADL_cat7_5,Great difficulty in two IADLs but less than great difficulty in the other one,Two IADLs - great difficulty,No
IADL_cat7,IADL_cat7_6,Great Difficulty in all three IADLs,Three IADLs - great difficulty,No
ADL_cat7,ADL_cat7_0,Independent,Independent,Yes
ADL_cat7,ADL_cat7_1,Supervision Required,Supervision Required,No
ADL_cat7,ADL_cat7_2,Limited Impairment,Limited Impairment,No
ADL_cat7,ADL_cat7_3,Extensive Assistance Required (I),Extensive Assistance Required (I),No
ADL_cat7,ADL_cat7_4,Extensive Assistance Required (II),Extensive Assistance Required (II),No
ADL_cat7,ADL_cat7_5,Dependent,Dependent,No
ADL_cat7,ADL_cat7_6,Total Dependence,Total Dependence,No
P4A_cat4,P4A_cat4_0,No Visits,No Visits,Yes
P4A_cat4,P4A_cat4_1,One Visit,One Visit,No
P4A_cat4,P4A_cat4_2,Two Visits,Two Visits,No
P4A_cat4,P4A_cat4_3,Greater than Two Visits,Greater than Two Visits,No
P4B_cat4,P4B_cat4_0,No Visits,No Visits,Yes
P4B_cat4,P4B_cat4_1,One Visit,One Visit,No
P4B_cat4,P4B_cat4_2,Two Visits,Two Visits,No
P4B_cat4,P4B_cat4_3,Greater Than Two Visits,Greater Than Two Visits,No
Renal_cat4,Renal_cat4_0,No Renal Failure/ Dialysis Not Applicable,No Renal Failure,Yes
Renal_cat4,Renal_cat4_1,Renal Failure /Dialysis Not Applicable,Renal Failure /No Dialysis,No
Renal_cat4,Renal_cat4_2,Renal Failure/Dialysis Scheduled Not Recieved,Renal Failure/Dialysis Scheduled Not Recieved,No
Renal_cat4,Renal_cat4_3,Renal Failure/Dialysis Scheduled Recieved,Renal Failure/Dialysis Scheduled Recieved,No
Oxygen_cat6,Oxygen_cat6_0,No COPD/Emphysema/Asthma/Oxygen Not Applicable,No COPD and Oxygen Not Applicable,Yes
Oxygen_cat6,Oxygen_cat6_1,No COPD/Emphysema/Asthma/Oxygen Scheduled Not Recieved,No COPD and Oxygen Scheduled but Not Recieved,No
Oxygen_cat6,Oxygen_cat6_2,No COPD/Emphysema/Asthma/Oxygen Scheduled Recieved,No COPD and Oxygen Recieved,No
Oxygen_cat6,Oxygen_cat6_3,COPD/Emphysema/Asthma/Oxygen Not Applicable,COPD and Oxygen Not Applicable,No
Oxygen_cat6,Oxygen_cat6_4,COPD/Emphysema/Asthma/Oxygen Scheduled Not Recieved,COPD and Oxygen Scheduled but Not Recieved,No
Oxygen_cat6,Oxygen_cat6_5,COPD/Emphysema/Asthma/Oxygen Scheduled Recieved,COPD and Oxygen Recieved,No
Cancer_cat6,Cancer_cat6_0,No Cancer/Chemotherapy Not Applicable,No Cancer,Yes
Cancer_cat6,Cancer_cat6_1,No Cancer/Chemotherapy Scheduled Not Recieved,No Cancer/Chemotherapy Scheduled Not Recieved,No
Cancer_cat6,Cancer_cat6_2,No Cancer/Chemotherapy Scheduled Recieved,No Cancer/Chemotherapy Scheduled Recieved,No
Cancer_cat6,Cancer_cat6_3,Cancer/Chemotherapy Scheduled Not Applicable,Cancer/Chemotherapy Scheduled Not Applicable,No
