Lime question,-----current variable name,variable,dummyVariable,variableType,method,target,databaseStart,variableStart,variableStartType,catValues,numValidCat,catLabel,catLabelLong,units,low,high,From,interval,catStartLabel,reference,variableStartShortLabel,variableStartLabel,Notes
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,1,15,Age,converted categorical age (12 to 14),years,1,1,1:1,,12 to 14 years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,2,15,Age,converted categorical age (15 to 19),years,2,2,2:2,,15 to 19 years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,3,15,Age,converted categorical age (20 to 24),years,3,3,3:3,,20 To 24 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,4,15,Age,converted categorical age (25 to 29),years,4,4,4:4,,25 To 29 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,5,15,Age,converted categorical age (30 to 34),years,5,5,5:5,,30 To 34 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,6,15,Age,converted categorical age (35 to 39),years,6,6,6:6,,35 To 39 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,7,15,Age,converted categorical age (40 to 44),years,7,7,7:7,,40 To 44 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,8,15,Age,converted categorical age (45 to 49),years,8,8,8:8,,45 To 49 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,9,15,Age,converted categorical age (50 to 54),years,9,9,9:9,,50 To 54 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,10,15,Age,converted categorical age (55 to 59),years,10,10,10:10,,55 To 59 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,11,15,Age,converted categorical age (60 to 64),years,11,11,11:11,,60 To 64 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,12,15,Age,converted categorical age (65 to 69),years,12,12,12:12,,65 To 69 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,13,15,Age,converted categorical age (70 to 74),years,13,13,13:13,,70 To 74 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,14,15,Age,converted categorical age (75 to 79),years,14,14,14:14,,75 To 79 Years,,Age,Age - (G),
