obs,risk,observed,obser2_5,obser97_5,predicted,pred2_5,pred97_5
1,0,0.001140724,0.000415205,0.00195638,0.000705436,0.000700729,0.000708815
2,1,0.001924716,0.001155164,0.002596241,0.00141535,0.001411255,0.001419746
3,2,0.002564686,0.001531325,0.003699341,0.002388115,0.00237827,0.002394644
4,3,0.004316542,0.003070793,0.005496328,0.004159461,0.004146244,0.004171784
5,4,0.008821696,0.006609371,0.010627919,0.007495593,0.007472288,0.007515177
6,5,0.014385774,0.011959986,0.016873125,0.013414123,0.013370057,0.013454001
7,6,0.02658784,0.023300946,0.030339408,0.024941498,0.024830548,0.02505319
8,7,0.050272658,0.04678271,0.055473968,0.050063821,0.049848821,0.050252751
9,8,0.106092485,0.099196369,0.112782581,0.107280245,0.106735156,0.107788318
10,9,0.30302489,0.294755203,0.312236605,0.305339542,0.303032707,0.30858438
