group_by_sex,group_by_1,group_by_label_1,group_by_value_1,group_by_2,variable,prevalence,mean,median,sd,percentile_025,percentile_750
NA,NA,NA,NA,NA,A1_cat7_0,14,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,A1_cat7_1,14.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,A1_cat7_2,14,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,A1_cat7_3,14.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,A1_cat7_4,14.6,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,A1_cat7_5,14.8,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,A1_cat7_6,14.4,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,A2_cat5_0,37.7,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,A2_cat5_1,17.7,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,A2_cat5_2,37.4,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,A2_cat5_3,5.2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,A2_cat5_4,2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,ADL_cat7_0,55.2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,ADL_cat7_1,11.3,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,ADL_cat7_2,15.6,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,ADL_cat7_3,7.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,ADL_cat7_4,5.4,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,ADL_cat7_5,3.8,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,ADL_cat7_6,1.3,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,B2B_cat2_0,81.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,B2B_cat2_1,18.9,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,BB6_cat5_0,34.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,BB6_cat5_1,16.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,BB6_cat5_2,6,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,BB6_cat5_3,15,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,BB6_cat5_4,28.4,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Cancer_cat6_0,85.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Cancer_cat6_1,0,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Cancer_cat6_2,0.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Cancer_cat6_3,13,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Cancer_cat6_4,0,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Cancer_cat6_5,1.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,H3_cat2_0,54.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,H3_cat2_1,45.9,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,IADL_cat7_0,3.2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,IADL_cat7_1,6.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,IADL_cat7_2,10.9,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,IADL_cat7_3,1.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,IADL_cat7_4,20.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,IADL_cat7_5,39.7,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,IADL_cat7_6,18.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1A_cat2_0,80.7,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1A_cat2_1,19.3,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1B_cat2_0,86.3,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1B_cat2_1,13.7,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1C_cat2_0,73.2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1C_cat2_1,26.8,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1DE_cat2_0,76.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1DE_cat2_1,23.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1D_cat2_0,39.2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1D_cat2_1,60.8,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1K_cat2_0,98.8,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1K_cat2_1,1.2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1L_cat2_0,95.2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,J1L_cat2_1,4.8,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,K2E_cat2_0,98.6,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,K2E_cat2_1,1.4,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,K3D_cat2_0,72.9,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,K3D_cat2_1,27.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,K3E_cat2_0,73.6,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,K3E_cat2_1,26.4,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,K8E_cat2_0,98.7,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,K8E_cat2_1,1.3,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,L1A_cat2_0,92.2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,L1A_cat2_1,7.8,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,L2B_cat2_0,96.7,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,L2B_cat2_1,3.3,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,L2C_cat2_0,98.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,L2C_cat2_1,1.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Oxygen_cat6_0,78.6,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Oxygen_cat6_1,0.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Oxygen_cat6_2,3.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Oxygen_cat6_3,12.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Oxygen_cat6_4,0,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Oxygen_cat6_5,6.2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,P4A_cat4_0,68.3,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,P4A_cat4_1,26.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,P4A_cat4_2,4.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,P4A_cat4_3,1.2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,P4B_cat4_0,80.8,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,P4B_cat4_1,14.2,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,P4B_cat4_2,3.3,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,P4B_cat4_3,1.7,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Renal_cat4_0,92.4,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Renal_cat4_1,6.1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Renal_cat4_2,0,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Renal_cat4_3,1.5,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Sex_cat2_0,65,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Sex_cat2_1,35,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Age_cont,NA,79.71,82,10.5,74,87
NA,Bin,bin 1,1,NA,A1_cat7_0,12.3,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,A1_cat7_1,12.8,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,A1_cat7_2,11.3,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,A1_cat7_3,14.3,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,A1_cat7_4,15.3,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,A1_cat7_5,15.3,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,A1_cat7_6,18.8,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,A2_cat5_0,56.1,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,A2_cat5_1,12.3,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,A2_cat5_2,4.6,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,A2_cat5_3,24.3,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,A2_cat5_4,2.8,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,ADL_cat7_0,3.3,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,ADL_cat7_1,3.5,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,ADL_cat7_2,13.1,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,ADL_cat7_3,7.2,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,ADL_cat7_4,26.1,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,ADL_cat7_5,28.9,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,ADL_cat7_6,18,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,B2B_cat2_0,45.8,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,B2B_cat2_1,54.2,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,BB6_cat5_0,17,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,BB6_cat5_1,10.2,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,BB6_cat5_2,4.4,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,BB6_cat5_3,8.9,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,BB6_cat5_4,59.5,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,Cancer_cat6_0,20.2,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,Cancer_cat6_1,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,Cancer_cat6_2,0,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,Cancer_cat6_3,72.7,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,Cancer_cat6_4,0.6,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,Cancer_cat6_5,6.4,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,H3_cat2_0,1.7,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,H3_cat2_1,98.3,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,IADL_cat7_0,0,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,IADL_cat7_1,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,IADL_cat7_2,0.2,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,IADL_cat7_3,0,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,IADL_cat7_4,1,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,IADL_cat7_5,35.6,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,IADL_cat7_6,63,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1A_cat2_0,87.6,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1A_cat2_1,12.4,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1B_cat2_0,71.7,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1B_cat2_1,28.3,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1C_cat2_0,66.4,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1C_cat2_1,33.6,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1DE_cat2_0,85.8,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1DE_cat2_1,14.2,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1D_cat2_0,53.1,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1D_cat2_1,46.9,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1K_cat2_0,100,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,J1K_cat2_1,0,NA,NA,NA,NA,NA
